  Date,StartTime,EndTime,Instrument,Signal,Strategy,EntryPrice,ExitPrice,PnL,Reason
1/12/2025,1:55:34 pm,2:01:20 pm,NSE:NIFTY25D0226350CE,NEUTRAL,Iron Condor,17.45,19.20,1.75,TARGET (10%)
1/12/2025,2:42:56 pm,2:51:53 pm,NSE:NIFTY25D0226200CE,BULL,Bull Call Spread,26185.6,26200,61.45,48.80,-12.65,STOP LOSS (20%)
22/1/2026,1:32:40 pm,1:32:40 pm,BSE:SENSEX2612282700CE,N/A,Iron Condor,0,82700,11.60,12.80,1.20,TARGET (10%)
22/1/2026,1:33:12 pm,1:33:12 pm,NSE:MIDCPNIFTY26JAN13450CE,N/A,Iron Condor,0,13450,32.35,35.85,3.50,TARGET (10%)
22/1/2026,1:33:12 pm,1:33:12 pm,NSE:MIDCPNIFTY26JAN13150PE,N/A,Iron Condor,0,13150,66.15,59.45,6.70,TARGET (10%)
22/1/2026,1:35:59 pm,1:35:59 pm,NSE:MIDCPNIFTY26JAN13350CE,N/A,Iron Condor,0,13350,57.85,69.55,-11.70,STOP LOSS (20%)
25/1/2026,8:33:26 pm,8:33:26 pm,NSE:NIFTY24JAN21600CE,N/A,Bull Call Spread,0,21600,0.00,0.20,-0.20,STOP LOSS (15%)
25/1/2026,8:34:00 pm,8:34:00 pm,NSE:NIFTY24JAN21600CE,N/A,Bull Call Spread,0,21600,0.00,0.20,-0.20,STOP LOSS (15%)
27/1/2026,2:09:11 pm,2:09:11 pm,NSE:NIFTY26JAN24600PE,N/A,Iron Condor,0,24600,0.80,0.65,-9.75,STOP LOSS (15%)
27/1/2026,2:10:22 pm,2:10:22 pm,NSE:NIFTY26JAN25200CE,N/A,Iron Condor,0,25200,3.90,4.65,-48.75,STOP LOSS (15%)
27/1/2026,2:10:54 pm,2:10:54 pm,NSE:NIFTY26JAN25400CE,N/A,Iron Condor,0,25400,1.05,1.35,19.50,TARGET (25%)
27/1/2026,2:11:04 pm,2:11:04 pm,NSE:NIFTY26JAN24800PE,N/A,Iron Condor,0,24800,2.15,1.55,39.00,TARGET (25%)
27/1/2026,2:18:31 pm,2:18:31 pm,NSE:NIFTY26JAN24850PE,N/A,Iron Condor,0,24850,2.95,2.10,55.25,TARGET (25%)
27/1/2026,2:19:33 pm,2:19:33 pm,NSE:NIFTY26JAN25450CE,N/A,Iron Condor,0,25450,0.95,0.80,-9.75,STOP LOSS (15%)
27/1/2026,2:29:09 pm,2:29:09 pm,NSE:NIFTY26JAN24650PE,N/A,Iron Condor,0,24650,0.75,0.60,-9.75,STOP LOSS (15%)
